Threshold,Precision_Late,Recall_Late,F1_Late
0.44000000000000006,0.9869281045751634,0.993421052631579,0.9901639344262295
0.45000000000000007,0.9869281045751634,0.993421052631579,0.9901639344262295
0.4600000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.4700000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.4800000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.49000000000000005,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5000000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5100000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5200000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5300000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5400000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5500000000000002,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5600000000000002,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5700000000000002,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5800000000000002,0.9869281045751634,0.993421052631579,0.9901639344262295
0.5900000000000002,0.9869281045751634,0.993421052631579,0.9901639344262295
0.6000000000000002,0.9869281045751634,0.993421052631579,0.9901639344262295
0.6100000000000001,0.9869281045751634,0.993421052631579,0.9901639344262295
0.6200000000000001,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.6300000000000001,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.6400000000000001,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.6500000000000001,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.6600000000000001,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.6700000000000002,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.6800000000000002,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.6900000000000002,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.7000000000000002,0.9868421052631579,0.9868421052631579,0.9868421052631579
0.7100000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7200000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7300000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7400000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7500000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7600000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7700000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7800000000000001,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.7900000000000001,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.8000000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.8100000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.8200000000000002,0.9867549668874173,0.9802631578947368,0.9834983498349835
0.8300000000000002,0.9866666666666667,0.9736842105263158,0.9801324503311258
0.8400000000000002,0.9866666666666667,0.9736842105263158,0.9801324503311258
0.8500000000000002,0.9866666666666667,0.9736842105263158,0.9801324503311258
0.8600000000000002,0.9865771812080537,0.9671052631578947,0.9767441860465116
0.8700000000000002,0.9931972789115646,0.9605263157894737,0.9765886287625418
0.8800000000000002,0.9931972789115646,0.9605263157894737,0.9765886287625418
0.8900000000000002,0.9931972789115646,0.9605263157894737,0.9765886287625418
0.9000000000000002,0.9931972789115646,0.9605263157894737,0.9765886287625418
0.9100000000000003,0.9931972789115646,0.9605263157894737,0.9765886287625418
0.9200000000000003,0.9930555555555556,0.9407894736842105,0.9662162162162162
0.9300000000000002,0.9929577464788732,0.9276315789473685,0.9591836734693877
0.9400000000000002,1.0,0.9144736842105263,0.9553264604810997
0.9500000000000002,1.0,0.9144736842105263,0.9553264604810997
